IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
5,30,42949.45466,42
5,31,53401.07823,56
5,32,75927.25095,77
5,33,41050.49645,40
5,34,46280.36446,46
5,35,52440.37959,53
5,36,70444.81626,74
5,37,74885.30866,75
5,38,70023.26829,73
5,39,92352.38464,83
5,40,138483.3789,87
5,41,132312.739,86
5,42,35725.60081,29
5,43,39857.1996,38
5,44,24746.34962,9
5,45,37614.3935,34
5,46,59357.73816,62
5,47,48535.65242,50
5,48,101363.6913,84
5,49,59396.7022,63
5,50,40298.92163,39
5,51,47911.76454,49
5,52,49367.88519,51
5,53,43457.65113,43
5,54,62385.25486,65
5,55,126093.5894,85
5,56,37433.35478,33
5,57,33490.33043,26
5,58,30084.76936,17
5,59,35489.64134,28
5,60,55452.58594,58
5,61,35747.12225,30
5,62,45114.69621,44
5,63,68403.49215,71
5,64,76743.20907,78
5,65,31384.73685,21
5,66,15919.04103,4
5,67,39259.7036,36
5,68,53343.64987,55
5,69,68025.48561,70
5,70,25902.06441,12
5,71,30834.31833,19
5,72,31552.55671,23
5,73,54974.69477,57
5,74,15781.80638,3
5,75,39654.75788,37
5,76,14549.43343,2
5,77,45696.33097,45
5,78,32242.12443,25
5,79,26848.30895,13
5,80,28102.55206,14
5,81,89105.90919,82
5,82,58050.20347,60
5,83,13067.1865,1
5,84,31457.34863,22
5,85,25158.23449,10
5,86,35039.5302,27
5,87,31038.97224,20
5,88,53060.97706,54
6,1,53227.93026,26
6,2,66156.69201,42
6,3,57717.72924,32
6,4,83063.63918,67
6,5,42895.06394,19
6,7,109890.6295,82
6,8,94212.94395,77
6,9,76171.24981,59
6,10,42489.22411,18
6,11,59458.70013,36
6,12,71193.13601,51
6,13,74136.67261,54
6,14,89431.67376,73
6,15,31107.98388,11
6,16,38626.84804,17
6,17,56665.23107,30
6,18,106142.0924,81
6,19,47418.90377,21
6,20,26021.32866,8
6,21,27710.59663,9
6,22,78643.80845,63
6,23,24717.62744,7
6,24,86831.81834,70
6,25,67370.29454,45
6,26,17726.92105,3
6,27,31602.26605,12
6,28,20102.03693,4
6,29,57416.00518,31
6,30,22999.55734,6
6,31,45100.47059,20
6,32,71729.57305,52
6,33,14720.98402,2
6,34,32311.14255,13
6,35,21169.55137,5
6,36,58368.15348,33
6,37,34925.7899,15
6,38,32927.46409,14
6,39,61518.17046,39
6,40,110169.7357,83
6,41,112389.2304,84
6,42,13500.31083,1
6,43,28154.70225,10
6,44,63555.87769,41
6,45,75359.09284,55
6,46,102124.3284,80
6,47,90871.03318,75
6,48,130478.4374,86
6,49,97355.48558,78
6,50,81119.33813,66
6,51,90101.25656,74
6,52,86240.86317,68
6,53,76106.53591,58
6,54,86377.7758,69
6,55,153821.9021,87
6,56,80232.62644,65
6,57,75983.54747,57
6,58,70973.51539,50
6,59,75972.75674,56
6,60,88444.03015,71
6,61,73118.47182,53
6,62,77310.65612,61
6,63,92891.16343,76
6,64,100506.9462,79
6,65,66404.13233,43
6,66,58653.27754,35
6,67,70097.96226,48
6,68,80060.34996,64
6,69,88725.25602,72
6,70,61474.60584,38
6,71,60079.00996,37
6,72,62407.22026,40
6,73,78028.83972,62
6,74,53747.49467,28
6,75,66558.08396,44
6,76,52296.10899,25
6,77,68805.04052,47
6,78,58619.99567,34
6,79,67752.13577,46
6,80,70963.10007,49
6,81,116623.3833,85
6,82,77231.09013,60
6,83,48210.66088,22
6,84,54287.27173,29
6,85,53686.48237,27
6,86,49300.67185,23
6,87,37270.52992,16
6,88,52114.40946,24
7,1,56672.89771,35
7,2,46869.78827,22
7,3,52877.52433,30
7,4,43452.01998,20
7,5,77869.8442,54
7,6,109890.6295,77
7,8,16574.03462,2
7,9,130059.8802,83
7,10,68073.74827,46
7,11,56290.34739,34
7,12,49968.98755,27
7,13,53940.69899,31
7,14,57611.67213,37
7,15,79379.86841,57
7,16,71776.58977,51
7,17,64494.75463,39
7,18,15979.55932,1
7,19,66258.53594,44
7,20,89263.02017,65
7,21,109337.6172,76
7,22,64804.20491,40
7,23,100301.8191,71
7,24,71168.67291,48
7,25,68202.13329,47
7,26,98407.67128,68
7,27,81647.8368,59
7,28,89792.39868,66
7,29,72792.64538,52
7,30,119092.6412,80
7,31,81473.08576,58
7,32,77885.86107,55
7,33,98937.19491,69
7,34,88033.31605,63
7,35,104973.227,73
7,36,88250.35034,64
7,37,144802.5165,86
7,38,120520.467,81
7,39,125739.7843,82
7,40,155306.6442,87
7,41,134940.8724,85
7,42,109191.2393,75
7,43,117170.1298,79
7,44,82922.39983,60
7,45,88033.29454,62
7,46,67642.6362,45
7,47,71505.70149,50
7,48,24409.48254,7
7,49,25716.15756,8
7,50,79226.42782,56
7,51,49017.99555,25
7,52,30336.60382,10
7,53,100073.8357,70
7,54,28532.2453,9
7,55,49138.75902,26
7,56,65471.16039,41
7,57,56220.76582,33
7,58,77794.61568,53
7,59,47169.46036,23
7,60,22445.23129,4
7,61,42754.35833,18
7,62,33292.42386,13
7,63,24229.57733,6
7,64,23586.90346,5
7,65,46539.13916,21
7,66,71491.98337,49
7,67,40190.90303,16
7,68,30729.92301,11
7,69,32677.35487,12
7,70,52055.21676,29
7,71,98246.84241,67
7,72,48235.57873,24
7,73,35198.73879,14
7,74,62106.02819,38
7,75,43360.62252,19
7,76,83557.29176,61
7,77,42411.13357,17
7,78,51289.85937,28
7,79,54215.58599,32
7,80,65904.47459,42
7,81,16863.60617,3
7,82,39982.59206,15
7,83,65977.60588,43
7,84,103646.2739,72
7,85,56816.28603,36
7,86,110358.3343,78
7,87,108763.1072,74
7,88,130064.9937,84
8,1,41076.95498,31
8,2,30302.89565,19
8,3,36721.73701,25
8,4,29247.89096,18
8,5,65036.66989,54
8,6,94212.94395,74
8,7,16574.03462,6
8,9,120876.233,84
8,10,53135.92471,43
8,11,39722.92449,30
8,12,33986.42564,23
8,13,38695.15709,27
8,14,45433.90908,34
8,15,64207.316,52
8,16,55788.38562,44
8,17,48033.46692,36
8,18,22986.23389,10
8,19,49767.89874,39
8,20,74821.54326,65
8,21,95684.9583,76
8,22,50669.47128,40
8,23,86335.34583,69
8,24,58302.74915,47
8,25,52702.92161,42
8,26,83668.65905,68
8,27,65323.08801,55
8,28,74174.24962,64
8,29,56603.60223,45
8,30,104755.0999,81
8,31,64946.1279,53
8,32,62981.05116,51
8,33,82801.93944,67
8,34,71499.06103,59
8,35,88524.55625,70
8,36,72321.43097,60
8,37,129046.1901,86
8,38,103957.111,80
8,39,109569.6134,82
8,40,140844.375,87
8,41,121921.22,85
8,42,94364.347,75
8,43,103357.2851,79
8,44,74026.18856,63
8,45,81160.97814,66
8,46,67576.32208,56
8,47,68472.35225,57
8,48,36806.57937,26
8,49,26005.02869,16
8,50,73749.14039,62
8,51,46434.9881,35
8,52,23707.32371,11
8,53,92809.1769,72
8,54,12869.70993,3
8,55,61239.79171,49
8,56,60042.75947,48
8,57,49334.33602,37
8,58,70295.97802,58
8,59,39236.79382,28
8,60,12375.68233,2
8,61,32361.79152,20
8,62,20083.75602,9
8,63,11134.21665,1
8,64,16188.88277,5
8,65,33966.72316,22
8,66,61259.83597,50
8,67,25924.60324,14
8,68,14329.76003,4
8,69,19058.66664,8
8,70,39273.24813,29
8,71,88613.86236,71
8,72,33959.11948,21
8,73,18681.03276,7
8,74,49369.22437,38
8,75,27790.28214,17
8,76,72727.91038,61
8,77,25994.47353,15
8,78,35974.64092,24
8,79,44447.80677,33
8,80,58189.60245,46
8,81,24070.79082,13
8,82,23941.46472,12
8,83,52449.95332,41
8,84,93074.45571,73
8,85,42113.29548,32
8,86,98960.54313,78
8,87,96064.27005,77
8,88,117987.3802,83
9,1,91010.64651,43
9,2,107657.1034,56
9,3,97866.12961,48
9,4,128326.2268,75
9,5,60980.95345,17
9,6,76171.24981,28
9,7,130059.8802,76
