OBJECTID,From_ID,To_ID,NearRank,From_OBJECTID,From_ZIP,From_TotalConfirmedCases,From_ActiveCases,From_Recovered,From_Death,From_EditDate,From_Shape_STArea__,From_Shape_STLength__,From_Shape__Area,From_Shape__Length,To_Name,To_ADDRNO,To_PREFIX,To_STNAME,To_STTYPE,To_SUFFIX,To_CITY,To_ZIP,To_ADMIN,Total_Miles
250,129,56,2,95,77571,1238,82,1144,12,11/17/2020 4:00 PM,0.00942144,0.58282593,0.00942144,0.58282593,TRI CITY REGIONAL HOSPITAL,4040, ,RED BUFF, , ,PASADENA,77503,2,2.38195181
251,130,50,1,180,77581,64,2,60,2,11/17/2020 4:00 PM,0.00037777,0.2762272,0.00037777,0.2762272,MEMORIAL HOSPITAL - SOUTHEAST,11800, ,ASTORIA,BLVD, ,HOUSTON,77089,2,1.41454798
252,130,79,2,180,77581,64,2,60,2,11/17/2020 4:00 PM,0.00037777,0.2762272,0.00037777,0.2762272,BAYWOOD HOSPITAL,709, ,MEDICAL CENTER,BLVD, ,WEBSTER,77598,2,5.33976408
253,131,106,1,261,77586,551,29,518,4,11/17/2020 4:00 PM,0.0031654,0.33894053,0.0031654,0.33894053,CHRISTUS ST. JOHN HOSPITAL,18300, ,ST JOHN,DR, ,NASSAU BAY,77058,2,1.31925804
254,131,48,2,261,77586,551,29,518,4,11/17/2020 4:00 PM,0.0031654,0.33894053,0.0031654,0.33894053,CLEAR LAKE REHAB HOSPITAL,655,E,MEDICAL CENTER,BLVD, , ,77598,2,2.94746816
255,132,3,1,71,77055,1927,148,1740,39,11/17/2020 4:00 PM,0.00195951,0.29987518,0.00195951,0.29987519,SPRING BRANCH MEDICAL CENTER,8850, ,LONG POINT, , ,HOUSTON,77055,2,0.0
256,132,54,2,71,77055,1927,148,1740,39,11/17/2020 4:00 PM,0.00195951,0.29987518,0.00195951,0.29987519,WEST HOUSTON SURGICARE,970, ,CAMPBELL, , ,HEDWIG VILLAGE,77024,2,0.12854335
257,133,106,1,121,77058,496,50,440,6,11/17/2020 4:00 PM,0.00275359,0.31014343,0.00275359,0.31014344,CHRISTUS ST. JOHN HOSPITAL,18300, ,ST JOHN,DR, ,NASSAU BAY,77058,2,0.0
258,133,48,2,121,77058,496,50,440,6,11/17/2020 4:00 PM,0.00275359,0.31014343,0.00275359,0.31014344,CLEAR LAKE REHAB HOSPITAL,655,E,MEDICAL CENTER,BLVD, , ,77598,2,0.14227513
259,134,53,1,112,77059,307,31,274,2,11/17/2020 4:00 PM,0.00249688,0.23797416,0.00249688,0.23797416,HCA DEER PARK HOSPITAL,4525, ,GLENWOOD, , ,DEER PARK,77536,2,2.39549794
260,134,48,2,112,77059,307,31,274,2,11/17/2020 4:00 PM,0.00249688,0.23797416,0.00249688,0.23797416,CLEAR LAKE REHAB HOSPITAL,655,E,MEDICAL CENTER,BLVD, , ,77598,2,2.50768397
261,135,43,1,76,77060,1940,99,1814,27,11/17/2020 4:00 PM,0.00195047,0.24102185,0.00195047,0.24102185,HCA N. HOUSTON MEDICAL CENTER PARKVIEW,7407, ,NORTH FREEWAY, , ,HOUSTON,77076,2,2.47980722
262,135,47,2,76,77060,1940,99,1814,27,11/17/2020 4:00 PM,0.00195047,0.24102185,0.00195047,0.24102185,HOUSTON COMMUNITY HOSPITAL - NORTHSIDE,2807,W,LITTLE YORK,RD, , ,77093,2,2.898783
263,136,35,1,123,77061,1361,73,1262,26,11/17/2020 4:00 PM,0.00187007,0.25071306,0.00187007,0.25071305,I H S HOSPITAL,6160,S,LOOP, ,E,HOUSTON,77087,2,1.92128682
264,136,42,2,123,77061,1361,73,1262,26,11/17/2020 4:00 PM,0.00187007,0.25071306,0.00187007,0.25071305,CULLEN WOMENS CENTER HOSPITAL,7443, ,CULLEN, , ,HOUSTON,77051,2,2.90201829
265,137,77,1,50,77069,433,51,380,2,11/17/2020 4:00 PM,0.00114931,0.18898736,0.00114931,0.18898735,METHODIST WILLOWBROOK HOSPITAL,18220, ,TOMBALL,PKWY, ,HOUSTON,77070,2,0.70111842
266,137,59,2,50,77069,433,51,380,2,11/17/2020 4:00 PM,0.00114931,0.18898736,0.00114931,0.18898735,CHAMPIONS PSYCHIATRIC CENTER,14320, ,WALTERS,RD, , ,77014,2,1.13841734
267,138,17,1,64,77074,1917,125,1767,25,11/17/2020 4:00 PM,0.00138403,0.26820619,0.00138403,0.2682062,SHARPSTOWN GENERAL HOSPITAL,6700, ,BELLAIRE,BLVD, ,HOUSTON,77074,2,0.0
268,138,18,1,64,77074,1917,125,1767,25,11/17/2020 4:00 PM,0.00138403,0.26820619,0.00138403,0.2682062,WEST OAKS HOSPITAL,6500, ,HORNWOOD, , ,HOUSTON,77074,2,0.0
269,139,8,1,47,77082,1841,159,1642,40,11/17/2020 4:00 PM,0.00286493,0.32479664,0.00286493,0.32479664,HCA W. HOUSTON MEDICAL CENTER,12141, ,RICHMOND,AVE, ,HOUSTON,77082,2,0.0
270,139,85,1,47,77082,1841,159,1642,40,11/17/2020 4:00 PM,0.00286493,0.32479664,0.00286493,0.32479664,HEALTH BRIDGE CHILDREN'S HOSPITAL,2929, ,WOODLAND PARK, , ,HOUSTON,77082,2,0.0
271,140,35,1,158,77087,2198,217,1941,40,11/17/2020 4:00 PM,0.00159042,0.21837852,0.00159042,0.21837852,I H S HOSPITAL,6160,S,LOOP, ,E,HOUSTON,77087,2,0.0
272,140,42,2,158,77087,2198,217,1941,40,11/17/2020 4:00 PM,0.00159042,0.21837852,0.00159042,0.21837852,CULLEN WOMENS CENTER HOSPITAL,7443, ,CULLEN, , ,HOUSTON,77051,2,1.96037064
273,141,62,1,52,77090,1438,114,1310,14,11/17/2020 4:00 PM,0.00219994,0.30000332,0.00219994,0.30000332,CYPRESS CREEK HOSPITAL,17750, ,CALI,DR, ,HOUSTON,77090,2,0.0
274,141,65,1,52,77090,1438,114,1310,14,11/17/2020 4:00 PM,0.00219994,0.30000332,0.00219994,0.30000332,FOREST SPRING HOSPITAL,1120, ,CYPRESS STATION,DR, ,HOUSTON,77090,2,0.0
275,142,4,1,85,77091,1272,154,1096,22,11/17/2020 4:00 PM,0.00178733,0.32195879,0.00178733,0.3219588,DOCTOR'S HOSPITAL - TIDWELL,510,W,TIDWELL,RD, ,HOUSTON,77091,2,0.0
276,142,43,2,85,77091,1272,154,1096,22,11/17/2020 4:00 PM,0.00178733,0.32195879,0.00178733,0.3219588,HCA N. HOUSTON MEDICAL CENTER PARKVIEW,7407, ,NORTH FREEWAY, , ,HOUSTON,77076,2,0.03917889
277,143,66,1,66,77099,2385,132,2217,36,11/17/2020 4:00 PM,0.00138041,0.18121214,0.00138041,0.18121214,FOUNTAIN BROOK HOSPITAL,11919,W,AIRPORT,BLVD, ,SUGAR LAND,77477,2,0.57173137
278,143,19,2,66,77099,2385,132,2217,36,11/17/2020 4:00 PM,0.00138041,0.18121214,0.00138041,0.18121214,MEMORIAL HOSPITAL - SOUTHWEST,7600, ,BEECHNUT, , ,HOUSTON,77074,2,2.25538072
279,144,72,1,99,77345,247,56,190,1,11/17/2020 4:00 PM,0.00202267,0.25326715,0.00202267,0.25326715,KINGWOOD URGING CARE,2313, ,TIMBER SHADOWS,DR, ,HOUSTON,77339,2,2.70933088
280,144,38,2,99,77345,247,56,190,1,11/17/2020 4:00 PM,0.00202267,0.25326715,0.00202267,0.25326715,KINGWOOD HOSPITAL,2001, ,LADBROOK,DR, ,HOUSTON,77339,2,2.71777721
281,147,77,1,38,77379,1861,180,1675,6,11/17/2020 4:00 PM,0.00629046,0.38323969,0.00629046,0.38323968,METHODIST WILLOWBROOK HOSPITAL,18220, ,TOMBALL,PKWY, ,HOUSTON,77070,2,1.50683776
282,147,69,2,38,77379,1861,180,1675,6,11/17/2020 4:00 PM,0.00629046,0.38323969,0.00629046,0.38323968,HEALTH SOUTH REHALIBITATION INSTITUTE,17506, ,RED OAK,DR, , ,77090,2,1.59308405
283,149,86,1,92,77396,2120,149,1945,26,11/17/2020 4:00 PM,0.00596836,0.41417539,0.00596836,0.4141754,HEALTHSOUTH NORTHEAST SURGERY CENTER,18929, ,EASTEX FREEWAY, , ,HUMBLE,77338,2,0.72380143
284,149,70,2,92,77396,2120,149,1945,26,11/17/2020 4:00 PM,0.00596836,0.41417539,0.00596836,0.4141754,HEALTH SOUTH REHABILITATION HOSPITAL OF HUMBLE,19002, ,MC KAY,DR, ,HUMBLE,77338,2,0.74248309
285,150,90,1,149,77450,1143,64,1066,13,11/17/2020 4:00 PM,0.00222654,0.28641149,0.00222654,0.2864115,CHRISTUS ST. CATHERINE,777,S,FRY,RD, ,HOUSTON,77094,2,0.05565352
286,150,74,2,149,77450,1143,64,1066,13,11/17/2020 4:00 PM,0.00222654,0.28641149,0.00222654,0.2864115,MEMORIAL HERMANN - KATY HOSPITAL,5602, ,MEDICAL CENTER, , ,KATY,77494,2,2.55724105
287,151,74,1,203,77493,1522,71,1406,45,11/17/2020 4:00 PM,0.01068308,0.55658215,0.01068308,0.55658215,MEMORIAL HERMANN - KATY HOSPITAL,5602, ,MEDICAL CENTER, , ,KATY,77494,2,1.05934545
288,151,90,2,203,77493,1522,71,1406,45,11/17/2020 4:00 PM,0.01068308,0.55658215,0.01068308,0.55658215,CHRISTUS ST. CATHERINE,777,S,FRY,RD, ,HOUSTON,77094,2,3.58264632
289,152,74,1,150,77494,232,11,217,4,11/17/2020 4:00 PM,0.00065278,0.14224282,0.00065278,0.14224282,MEMORIAL HERMANN - KATY HOSPITAL,5602, ,MEDICAL CENTER, , ,KATY,77494,2,0.81307827
290,152,90,2,150,77494,232,11,217,4,11/17/2020 4:00 PM,0.00065278,0.14224282,0.00065278,0.14224282,CHRISTUS ST. CATHERINE,777,S,FRY,RD, ,HOUSTON,77094,2,3.14127764
291,153,79,1,108,77546,602,20,579,3,11/17/2020 4:00 PM,0.00215284,0.3301673,0.00215284,0.33016731,BAYWOOD HOSPITAL,709, ,MEDICAL CENTER,BLVD, ,WEBSTER,77598,2,0.77025111
292,153,60,2,108,77546,602,20,579,3,11/17/2020 4:00 PM,0.00215284,0.3301673,0.00215284,0.33016731,CLEAR LAKE REGIONAL MEDICAL CENTER,500, ,MEDICAL CENTER,BLVD, ,WEBSTER,77598,2,0.85119553
293,154,106,1,18,77573,12,2,10,0,11/17/2020 4:00 PM,2.232e-05,0.17030065,2.232e-05,0.17030065,CHRISTUS ST. JOHN HOSPITAL,18300, ,ST JOHN,DR, ,NASSAU BAY,77058,2,0.60993439
294,154,48,2,18,77573,12,2,10,0,11/17/2020 4:00 PM,2.232e-05,0.17030065,2.232e-05,0.17030065,CLEAR LAKE REHAB HOSPITAL,655,E,MEDICAL CENTER,BLVD, , ,77598,2,1.53667898
