OBJECTID,From_ID,To_ID,NearRank,From_OBJECTID,From_ZIP,From_TotalConfirmedCases,From_ActiveCases,From_Recovered,From_Death,From_EditDate,From_Shape_STArea__,From_Shape_STLength__,From_Shape__Area,From_Shape__Length,To_Name,To_ADDRNO,To_PREFIX,To_STNAME,To_STTYPE,To_SUFFIX,To_CITY,To_ZIP,To_ADMIN,Total_Miles
68,34,96,2,69,77547,502,25,469,8,11/17/2020 4:00 PM,0.0008358,0.12349302,0.0008358,0.12349302,KINDRED BAY AREA HOSPITAL,1004, ,SEYMOUR,DR, ,PASADENA,77506,2,1.72837195
69,35,78,1,98,77562,300,11,283,6,11/17/2020 4:00 PM,0.00359126,0.40083866,0.00359126,0.40083865,SAN JACINTO METHODIST HOSPITAL,4401, ,GARTH,RD, , ,77521,2,3.73158019
70,35,99,2,98,77562,300,11,283,6,11/17/2020 4:00 PM,0.00359126,0.40083866,0.00359126,0.40083865,TRIUMPH HOSPITAL EAST HOUSTON,15101, ,EAST FREEWAY, , , ,77530,2,3.79756865
71,36,36,1,179,77584,24,1,23,0,11/17/2020 4:00 PM,6.68e-06,0.08826642,6.68e-06,0.08826642,SPECIALTY HOSPITAL OF HOUSTON,5556, ,GASMER, , ,HOUSTON,77035,2,5.86432688
72,36,42,2,179,77584,24,1,23,0,11/17/2020 4:00 PM,6.68e-06,0.08826642,6.68e-06,0.08826642,CULLEN WOMENS CENTER HOSPITAL,7443, ,CULLEN, , ,HOUSTON,77051,2,6.24836864
73,37,52,1,218,77007,1161,160,997,4,11/17/2020 4:00 PM,0.00189716,0.26462953,0.00189716,0.26462953,SCCI HOSPITAL,105, ,DREW ST, , ,HOUSTON,77006,2,0.89963336
74,37,92,2,218,77007,1161,160,997,4,11/17/2020 4:00 PM,0.00189716,0.26462953,0.00189716,0.26462953,DUBUIS HOSPITAL FOR CONTINUING CARE,1919, ,LA BRANCH, , ,HOUSTON,77002,2,1.05835224
75,38,15,1,86,77013,731,54,668,9,11/17/2020 4:00 PM,0.00222987,0.27954344,0.00222987,0.27954345,DOCTOR'S HOSPITAL - EAST LOOP,9339,N,LOOP, ,E,HOUSTON,77029,2,0.00516146
76,38,89,2,86,77013,731,54,668,9,11/17/2020 4:00 PM,0.00222987,0.27954344,0.00222987,0.27954345,BRILELA McCREA WOMAN'S PLACE,12605, ,EAST FREEWAY, , ,HOUSTON,77015,2,0.31293644
77,39,13,1,223,77004,1015,115,882,18,11/17/2020 4:00 PM,0.00143106,0.19960234,0.00143106,0.19960234,RIVERSIDE GENERAL HOSPITAL,3204, ,ENNIS ST, , ,HOUSTON,77004,2,0.0
78,39,27,1,223,77004,1015,115,882,18,11/17/2020 4:00 PM,0.00143106,0.19960234,0.00143106,0.19960234,PARK PLAZA HOSPITAL,1313, ,HERMANN,DR, ,HOUSTON,77004,2,0.0
79,40,52,1,225,77006,615,78,534,3,11/17/2020 4:00 PM,0.00054717,0.12723053,0.00054717,0.12723053,SCCI HOSPITAL,105, ,DREW ST, , ,HOUSTON,77006,2,0.0
80,40,63,2,225,77006,615,78,534,3,11/17/2020 4:00 PM,0.00054717,0.12723053,0.00054717,0.12723053,DEPELCHIN CHILDRENS HOSPITAL,3214, ,AUSTIN, , ,HOUSTON,77004,2,0.24589446
81,41,12,1,229,77003,465,67,391,7,11/17/2020 4:00 PM,0.00064298,0.17002237,0.00064298,0.17002237,CHRISTUS ST JOSEPH HOSPITAL,1919, ,LA BRANCH, , ,HOUSTON,77002,2,0.03607454
82,41,92,2,229,77003,465,67,391,7,11/17/2020 4:00 PM,0.00064298,0.17002237,0.00064298,0.17002237,DUBUIS HOSPITAL FOR CONTINUING CARE,1919, ,LA BRANCH, , ,HOUSTON,77002,2,0.04161508
83,42,16,1,90,77015,2714,178,2508,28,11/17/2020 4:00 PM,0.00534014,0.45694811,0.00534014,0.45694811,EAST HOUSTON REGIONAL MEDICAL CENTER,13111, ,EAST FREEWAY, , ,HOUSTON,77015,2,0.0
84,42,89,1,90,77015,2714,178,2508,28,11/17/2020 4:00 PM,0.00534014,0.45694811,0.00534014,0.45694811,BRILELA McCREA WOMAN'S PLACE,12605, ,EAST FREEWAY, , ,HOUSTON,77015,2,0.0
85,43,7,1,81,77016,1271,115,1119,37,11/17/2020 4:00 PM,0.00245715,0.25687009,0.00245715,0.25687009,LYNDON B. JOHNSON HOSPITAL,5656, ,KELLEY, , ,HOUSTON,77026,1,0.93349355
86,43,47,2,81,77016,1271,115,1119,37,11/17/2020 4:00 PM,0.00245715,0.25687009,0.00245715,0.25687009,HOUSTON COMMUNITY HOSPITAL - NORTHSIDE,2807,W,LITTLE YORK,RD, , ,77093,2,1.54862018
87,44,5,1,185,77018,717,79,623,15,11/17/2020 4:00 PM,0.00163872,0.23521775,0.00163872,0.23521775,MEMORIAL HOSPITAL - NORTHWEST,1635,N,LOOP, ,W,HOUSTON,77008,2,0.07881657
88,44,4,2,185,77018,717,79,623,15,11/17/2020 4:00 PM,0.00163872,0.23521775,0.00163872,0.23521775,DOCTOR'S HOSPITAL - TIDWELL,510,W,TIDWELL,RD, ,HOUSTON,77091,2,0.42380665
89,45,64,1,222,77012,1118,94,1002,22,11/17/2020 4:00 PM,0.00099281,0.17683035,0.00099281,0.17683035,DEATON HOSPITAL,206,N,MAIN, , ,GALENA PARK,77547,2,0.94872244
90,45,35,2,222,77012,1118,94,1002,22,11/17/2020 4:00 PM,0.00099281,0.17683035,0.00099281,0.17683035,I H S HOSPITAL,6160,S,LOOP, ,E,HOUSTON,77087,2,1.54878052
91,46,64,1,114,77017,1768,101,1635,32,11/17/2020 4:00 PM,0.00236915,0.2857272,0.00236915,0.28572719,DEATON HOSPITAL,206,N,MAIN, , ,GALENA PARK,77547,2,0.81497569
92,46,35,2,114,77017,1768,101,1635,32,11/17/2020 4:00 PM,0.00236915,0.2857272,0.00236915,0.28572719,I H S HOSPITAL,6160,S,LOOP, ,E,HOUSTON,77087,2,1.47668839
93,47,14,1,61,77020,1288,93,1153,42,11/17/2020 4:00 PM,0.00173081,0.21701887,0.00173081,0.21701887,HOUSTON RECOVERY,4514, ,LYONS,AVE, ,HOUSTON,77020,2,0.0
94,47,15,2,61,77020,1288,93,1153,42,11/17/2020 4:00 PM,0.00173081,0.21701887,0.00173081,0.21701887,DOCTOR'S HOSPITAL - EAST LOOP,9339,N,LOOP, ,E,HOUSTON,77029,2,1.17750827
95,48,35,1,220,77023,1501,113,1361,27,11/17/2020 4:00 PM,0.00136887,0.2059619,0.00136887,0.2059619,I H S HOSPITAL,6160,S,LOOP, ,E,HOUSTON,77087,2,0.36337283
96,48,13,2,220,77023,1501,113,1361,27,11/17/2020 4:00 PM,0.00136887,0.2059619,0.00136887,0.2059619,RIVERSIDE GENERAL HOSPITAL,3204, ,ENNIS ST, , ,HOUSTON,77004,2,1.1322623
97,49,67,1,195,77025,652,62,581,9,11/17/2020 4:00 PM,0.00108316,0.1869025,0.00108316,0.18690249,GREENPARK II MEDICAL CENTER,7515, ,MAIN,ST, ,HOUSTON,77030,2,0.36879101
98,49,41,2,195,77025,652,62,581,9,11/17/2020 4:00 PM,0.00108316,0.1869025,0.00108316,0.18690249,TEXAS ORTHOPEDIC HOSPITAL,7401,S,MAIN, , ,HOUSTON,77030,2,0.52046026
99,50,52,1,227,77019,662,89,567,6,11/17/2020 4:00 PM,0.00089848,0.21917129,0.00089848,0.2191713,SCCI HOSPITAL,105, ,DREW ST, , ,HOUSTON,77006,2,0.21408111
100,50,92,2,227,77019,662,89,567,6,11/17/2020 4:00 PM,0.00089848,0.21917129,0.00089848,0.2191713,DUBUIS HOSPITAL FOR CONTINUING CARE,1919, ,LA BRANCH, , ,HOUSTON,77002,2,0.77106058
101,51,4,1,73,77022,1339,118,1185,36,11/17/2020 4:00 PM,0.00142788,0.18696084,0.00142788,0.18696084,DOCTOR'S HOSPITAL - TIDWELL,510,W,TIDWELL,RD, ,HOUSTON,77091,2,0.35766678
102,51,1,2,73,77022,1339,118,1185,36,11/17/2020 4:00 PM,0.00142788,0.18696084,0.00142788,0.18696084,DOCTOR'S HOSPITAL - PARKWAY,233,W,PARKER,RD, ,HOUSTON,77076,2,0.87713398
103,52,20,1,213,77030,484,54,424,6,11/17/2020 4:00 PM,0.00063396,0.14560626,0.00063396,0.14560626,WEST PAVILION METHODIST DIAGNOSTIC CENTER,6447, ,MAIN,ST, ,HOUSTON,77030,2,0.0
104,52,21,1,213,77030,484,54,424,6,11/17/2020 4:00 PM,0.00063396,0.14560626,0.00063396,0.14560626,ST LUKE'S EPISCOPAL HOSPITAL,6720, ,BERTNER, , ,HOUSTON,77030,2,0.0
105,53,93,1,214,77005,369,55,313,1,11/17/2020 4:00 PM,0.00093402,0.16919299,0.00093402,0.16919298,SELECT SPECIALTY HOSPITAL HOUSTON MEDICAL CENTER,6447, ,MAIN,ST, ,HOUSTON,77030,2,0.01797283
106,53,20,2,214,77005,369,55,313,1,11/17/2020 4:00 PM,0.00093402,0.16919299,0.00093402,0.16919298,WEST PAVILION METHODIST DIAGNOSTIC CENTER,6447, ,MAIN,ST, ,HOUSTON,77030,2,0.02557449
107,54,5,1,184,77008,877,105,756,16,11/17/2020 4:00 PM,0.0015614,0.17760286,0.0015614,0.17760286,MEMORIAL HOSPITAL - NORTHWEST,1635,N,LOOP, ,W,HOUSTON,77008,2,0.0
108,54,6,1,184,77008,877,105,756,16,11/17/2020 4:00 PM,0.0015614,0.17760286,0.0015614,0.17760286,SELECT SPECIALTY HOSPITAL,1917, ,ASHLAND, , ,HOUSTON,77008,2,0.0
109,55,6,1,216,77009,1595,137,1422,36,11/17/2020 4:00 PM,0.00147954,0.1704503,0.00147954,0.1704503,SELECT SPECIALTY HOSPITAL,1917, ,ASHLAND, , ,HOUSTON,77008,2,0.88853131
110,55,14,2,216,77009,1595,137,1422,36,11/17/2020 4:00 PM,0.00147954,0.1704503,0.00147954,0.1704503,HOUSTON RECOVERY,4514, ,LYONS,AVE, ,HOUSTON,77020,2,1.58786904
111,56,7,1,87,77028,807,64,728,15,11/17/2020 4:00 PM,0.00223784,0.23225801,0.00223784,0.23225801,LYNDON B. JOHNSON HOSPITAL,5656, ,KELLEY, , ,HOUSTON,77026,1,0.1834548
112,56,15,2,87,77028,807,64,728,15,11/17/2020 4:00 PM,0.00223784,0.23225801,0.00223784,0.23225801,DOCTOR'S HOSPITAL - EAST LOOP,9339,N,LOOP, ,E,HOUSTON,77029,2,1.09623086
113,57,15,1,68,77029,970,55,891,24,11/17/2020 4:00 PM,0.00310933,0.33817596,0.00310933,0.33817596,DOCTOR'S HOSPITAL - EAST LOOP,9339,N,LOOP, ,E,HOUSTON,77029,2,0.0
114,57,89,2,68,77029,970,55,891,24,11/17/2020 4:00 PM,0.00310933,0.33817596,0.00310933,0.33817596,BRILELA McCREA WOMAN'S PLACE,12605, ,EAST FREEWAY, , ,HOUSTON,77015,2,0.58215544
115,58,66,1,59,77031,735,47,676,12,11/17/2020 4:00 PM,0.00077982,0.13906297,0.00077982,0.13906296,FOUNTAIN BROOK HOSPITAL,11919,W,AIRPORT,BLVD, ,SUGAR LAND,77477,2,0.98649088
116,58,19,2,59,77031,735,47,676,12,11/17/2020 4:00 PM,0.00077982,0.13906297,0.00077982,0.13906296,MEMORIAL HOSPITAL - SOUTHWEST,7600, ,BEECHNUT, , ,HOUSTON,77074,2,1.45130898
117,59,2,1,43,77041,1274,111,1152,11,11/17/2020 4:00 PM,0.00520655,0.41513179,0.00520655,0.41513179,MEMORIAL SPRING SHADOWS GLEN HOSPITAL,2801, ,GESSNER, , ,HOUSTON,77080,2,0.43842634
118,59,55,2,43,77041,1274,111,1152,11,11/17/2020 4:00 PM,0.00520655,0.41513179,0.00520655,0.41513179,KINDRED HOSPITAL HOUSTON NORTHWEST,11297, ,FALLBROOK, , , ,77065,2,1.68620906
119,60,42,1,178,77047,1351,119,1220,12,11/17/2020 4:00 PM,0.00347168,0.32575719,0.00347168,0.32575719,CULLEN WOMENS CENTER HOSPITAL,7443, ,CULLEN, , ,HOUSTON,77051,2,2.04071086
120,60,24,2,178,77047,1351,119,1220,12,11/17/2020 4:00 PM,0.00347168,0.32575719,0.00347168,0.32575719,INTRACARE HOSPITAL,7601, ,FANNIN, , ,HOUSTON,77054,2,3.70147959
